Help!	Kapadle
What was his motive for doing it?	aye unden manthinek udhesha dada?
When do you usually get off work?	nik yepa bele du raje thikund?
When will you get ready to leave?	yepa thayar aapa poyare?
Who is to blame for the accident?	ee apagatha gu yer karana?
Will you go to the party tonight?	ee rathre party gu poya?
Will you have another cup of tea?	nanonji lote tea parpana?
Will you sing me a Beatles' song?	yenk onji Beatles padya panpana?
You didn't have to come so early.	ee ithu bega barpuna avashyakathe ithiji
You don't have to chat with them.	ee akul notu gu paterod andu ijji
You must get rid of such a habit.	Ee avu anchina abyasa nu budodu
A man like that gets on my nerves.	aye anchinaklen thoonda yenk garva barpund
A squirrel hid among the branches.	chanil maratha idethu dengondh ithund
Almost all the leaves have fallen.	sumar,pura ire thalund
At last, he realized his mistakes.	konetu, ayena thappu ayeg gothand
Can you tell me what size this is?	netha alathe yeth andu yenk panoliya?
Coincidentally enough, I know him.	akasmika vadh yenk ayena gurtha undu
Do I have to stay in the hospital?	yan aaspathred uppoda?
Do you cook by gas or electricity?	ee adige ubhe du manpuna ijinda vidhyuth du manpuna?
Do you know how to use a computer?	nik computer upayoga manpere gothunda?
Do you know how to use a computer?	nik computer upayoga manpere gothunda?
Do you want to watch this program?	nik ee karyakrama nu thuvoda?
Elephants live in Asia and Africa.	aane Asia boka Africa du uppunu
He decided not to go to the party.	aye party gu poyere balli andh nirdhara manthe
He didn't go there. Neither did I.	aye adeg pothije,yanla adeg pothiji 
He has been to London three times.	aye london gu mooji sarthi pothe
He hid his sadness behind a smile.	ayena dhukka nu thelike dha pirav dengadhu dheepe
He is able to speak ten languages.	aye pathu bashe du patere aapundu
He lives in that house over there.	aye avu illad avlu uppuve
He used pigeons in his experiment.	aye parikshe gu pudha nu upayoga manthe
He will write for hours at a time.	Aye orane gantegatle barepe
He's always running short of cash.	ayeda yepala kass kammi upundu
I can't buy a book this expensive.	yenk karchida booku dethondre apuji
I can't put up with his arrogance.	yenk ayena ahankaranu talpere apuji
I cannot understand what happened.	yenk dada avondu undu andu artha manperer apuji
I don't like being made a fool of.	yenk mange ayere ista iji
I doubt his ability to do the job.	yenk ayena bele manpuna samarthya du samshya undu
I felt hungry after the long walk.	yenk dura nadathudu masthu bada andu
I had a letter from her yesterday.	yenk kode aled du patra baidundu
I had the good fortune to succeed.	yenk safalathe goskara yennada masthu sampath ithund
I must adjust my watch. It's slow.	yan gadiyara nu sama manpere undu, avu mella undu
I saw a dog swim across the river.	yan nayi nu nadhi datuna tuye
I usually get home by six o'clock.	yan yepala aaji gante dulai illag barpe
I usually get up at eight o'clock.	yan yepala edma ganteg lakkuve
I want you to go to Osaka at once.	yenk ee osaka gu orane povodu andu undu
I was able to win the first prize.	yenk shurutha prashasthi thikere aand
I was asked to give you a message.	yenk nik onji sudhi koreg panyer
I'm going to the village tomorrow.	yan yelle gramag povondu ulle
It happened between eight and ten.	avu edma boka pathu gante da madhyad aand
It happened between eight and ten.	avu edma boka pathu gante da madhyad aand
It is better to ignore this point.	undu vishayan idege budpina yedde 
It seems to me that you are wrong.	yenk yenundu ee thappu andh
It was proved that he was a thief.	aye kalve andh sabith aand
It's important for them to go out.	akleg pidai popuna masth agathya
Keep your room as neat as you can.	ninna kone nu yeth shudha deyere aapunda dela
Let me give you a piece of advice.	yan nik onji salahe korpe
Mary prided herself on her beauty.	Mary alna soundarya dha bagge ale mechiyal
May we accompany you on your walk?	nama ninnotugu nadapunaga baroda?
My friends celebrated my birthday.	yenna dostilu yenna putudhina parba nu acharane manther
My hens laid fewer eggs last year.	yenna kori poyina varsha onthe tethi dendhuu
New Delhi is the capital of India.	New Delhi bharathadha rajadhani
Only a few people didn't go there.	kali kelav jana mathra ade poyijer
Only a few people listened to him.	kelav jana mathra ayena mathu kenver
Our meeting rarely starts on time.	namma beti sari adhu samaya gu shuru apuna aparupa
She has already finished the work.	aal yepane bele mugipayal
She is as beautiful as her mother.	alna ammanath aal shoku
She is ashamed of her old clothes.	alna para kuntu tudu aleg nachige aadh
Smoking will do you a lot of harm.	oipunu nik masthu apaya korpundu
Someday your dream will come true.	onji dina ninna kanasu sathya aapundu
Stamps are not sold in this store.	tappal chitu undu angadidu maruji
That bicycle is too small for you.	undu cycle nik masthu yelliya aapundu
The capital of India is New Delhi.	Bharathada rajadhani New Delhi
The job must be finished by 3 p.m.	bele  muji gante dulai mugipavod
The mountain is covered with snow.	parvatha hima du muchudundu
The plane took off exactly at six.	vimana aaji ganteg sariyadu pidadundu
The rain prevented me from coming.	barsa yennan barpunetdh ada manthundu
The road is parallel to the river.	sadhi nadhi gu samanthara vadu undu
The women of France are beautiful.	france dha ponnulu masthu porlu
There are five apples in this box.	ee dabbe du aaji eppul undu
There is a garden behind my house.	yenna illada pirav bhana undu
There was no one there besides me.	yenna baritu yerla ithjeer
There were two murders this month.	ee thingol rad kole andu
There were two murders this month.	ee thingol rad kole andu 
They are willing to learn English.	akleg english kalpere manasithi undu
We shared the profit among us all.	Nama labanu namma ullai pal mantha
We should observe the speed limit.	nama vegagadi n tuvod
We usually have breakfast at 7:30. 	nama yepala kande yelu arek thindi manpunu
What movies are playing this week?	ee vara ovu chalanachitra baltondu undu?
What time did your friend go home?	ninna dhosthi yeth ganteg illag poye?
What time do you get up every day?	ee dhinola kande yeth ganteg lakkuva?
What time do you get up every day?	ee dhinola kande yeth ganteg lakkuva?
What time do you get up every day?	ee dhinola kande yeth ganteg lakkuva?
What time will you have breakfast?	ee yeth ganteg thindi thinpa?
When did you get back from London?	ee london du yepa pira batha?
Who do you think broke the window?	ee kandi nu pudathini yer andhu yenva?
Will the weather be good tomorrow?	yelle havamana yedde upunda?
Will you go to America next month?	ee barpina thingol america popana?
Would you like another cup of tea?	nanonji lota chaa parpana?
You had better not read this book.	yedde aand ee indh booku nu odhija
You must keep an eye on the child.	Ee bale dha mith kann dhivod
You've got nothing to complain of.	nik dhurre padreg dala karana ijji
Your sister can not speak English.	ninna akka english paterujal
A police officer is talking to her.	police udhyadar aleda paterondu uller
An elephant is a very large animal.	aane onji masthu malla mruga
Are you sure of her coming on time?	aal porthug barpal andhu gothunda?
As a matter of fact, I dislike him.	yathastithi dha prakarod,yenk aye ista ijji
Bern is the capital of Switzerland.	Bern Switzerland dha rajadhani
Could you call again later, please?	dhayamanthudh yenk e boka kare manpoliya?
Did you hear the news on the radio?	ee radio du sudhi kendhana?
Do you have these shoes in my size?	yenna alathe dha muttu unda nikleda?
Do you have these shoes in my size?	yenna alathe dha muttu unda nikleda?
Do you like to live in the country?	nik desha du badukere ista na?
Don't be afraid of making mistakes.	thappu manpere podiyodchi
Don't speak ill of your classmates.	ninna shapathi naklena bagge bodchandhina paterodchi
Every man should learn how to cook.	pura anjov nakleg adige manpere gothupodu
Everybody wants to live in comfort.	purakleg aramavadh uppere ista
Few people will admit their faults.	kelav janakulu mathra aklena thappu nu opver
He did the reverse of what I asked.	aye yan kendina thirgadh manthe
He died without having made a will.	aye iche manpandhe saithe
He doesn't live in my neighborhood.	aye yenna nerakare dha kaithal upuje
He had nothing to do with the case.	ayeg e udhe nu pathond dala ayere ijji
He had to go without food for days.	ayeg thinre ijjande masthu dhina povodu ithund
He has no sense of right and wrong.	ayeg sahajabudhi ijji ovu sari ovu thappu andhu
He has plenty of money in the bank.	Ayeda bank du masthu kass undu
He kept us waiting for a long time.	aye namman masthu porthu kapere dhiye
He left a large fortune to his son.	aye ayena mageku masthu sampath bud-dhu poye
He put down the rebellion in India.	aye bharathagu dhange padye
He ran faster than his brother did.	aye ayena meggedh bega balthe
He rescued the child from the fire.	aye balenu thutu kapadye
He speaks English better than I do. aye yennad yedde english paterve
How do you like living on your own? ee ninnathige badhukere yencha aapundu?
How is it going in the fish market?	meen santhed yencha povondu undu?
How long will it take to get there?	avlu poyere yeth porthu thagundu?
How many books do you read a month?	ee yeth booku onji thingold kalpa?
How many sandwiches are there left?	yeth sandwiches oridundh?
I am his friend and will remain so.	yan ayena dosthi,nama anchane uppuva
I am married and have two children.	yenk madime adhu radd jokulu uller
I cannot tolerate naughty children.	yenk thuntathana da jokulen thoonda tadeyere apujji
I don't know who wrote this letter.	yenk e patra nu yer barethini andu gothiji
I don't like studying in this heat.	yenk ee becha du kalpere apujjiji
I don't think I can wait that long.	yenk athu porthu kapere apujji
I doubt the truth of his statement.	aye panthina yenk nambike ijji
I fell down the stairs in my haste.	yan amasara du matil da tirthu buriye
I had my brother repair my bicycle.	yenna cycle nu yenna anne sari manthe
I had nothing to do with the group.	yenk gumpu  du dala  manpere ijji
I haven't seen him for a long time.	yan ayen mastu samaya dinchi thutiji
I hear that she's a famous actress.	Yan kende aal malla nati andu
I helped my mother wash the dishes.	patre dekkere yenna amma gu sahaya manthe
I learned French instead of German.	yan german dha badhalu French kalthe
I ordered those books from Germany.	yan german du aa booku nu tarpaye
I want to know about this mountain.	yenk ee parvatha dha bhage gothavod ithund
I was able to play piano very well.	yenk thanthiragadha pattige gobbavere yedde barpund
I wish to go to Paris to study art.	yenk paris podu kale kalpere ista
I wish to go to Paris to study art.	yenk paris podu kale kalpere ista
I'm anxious for him to return safe.	yenk podige aapundu aye pira badhra vadu barodh andh
If I don't do it now, I never will.	yan ithe manthijanda ,yan yepala manpuji
If I had wings, I would fly to you.	yenk rekke ithunda,yan ninnada ravondh baiduve
It has been fine since last Friday.	poyina shukravara dhinchi yedde undu
It is going to rain this afternoon.	Ini madhyana barsa barpundu
It seems that everybody likes golf.	purakleg golf ista andh thojund
It shouldn't take long to find Tom.	Tom nu nadere masthu porthu dethonere balli
It's more difficult than you think.	ee yennunedhu banga undu
Learning a foreign language is fun.	pidhai desha da bashe kalpere gammath aapund
My brother depends on me for money.	yenna megge kass gu yenna mith neluve
My sister is very fond of children.	Yenna medhi gu jokulu panda masthu ista
My wife has just cleared the table.	yenna bodedhi ithe mayju suchi manthal
Nowadays nobody believes in ghosts.	ithe pura yerla butha nu nambujer
One is tall and the other is short.	onji udha nanonji kudhye
She accused me of making a mistake.	aal yenna thappu andh aaropa manthal
She asked me if I knew her address.	aal yennada alna vilasa gothunda andh kenyal
She didn't want him to go overseas.	aaleg ayen sagarothara poyere ijji
She didn't want to speak to anyone.	aleg yeredala pathereg ithiji
She felt insecure about her future.	aleg alna bavishya yendhu abadhra andh
She felt insecure about her future.	aleg alna bavishya yendhu abadhra andh
She is busy preparing for the trip.	aal pravaha poyere amasar du tayar avondu ithal
She was very surprised at the news.	aleg sudhi kendu ashcharya ayal
She went to the market once a week.	aal santheg varogu ora poyal
She's in the garden planting roses.	aal bithel du gulabi nadondu ithal
Since he was tired, he went to bed.	ayeg masthu bachinek ,aye jappere poye
Since you're here, you can help me.	yenchala ee moolu ulla,yenk ee sahaya manpoli
Take this medicine every six hours.	aaji ganteg ora ee mathren thinla
Teaching English is his profession.	Ayena bele english kalpavunu
The animals in the forest died off.	kaadud ithina mruga saithu pondu
The baby fell asleep in the cradle.	baleg thotiludh nidre bathundh
The boy has an apple in his pocket.	javanena jebudu onji eppul undu
The fat woman was holding a monkey.	thorada ponjov onji manga nu pathondu ithund
The hole is about five feet across.	gundi ayinu adi adda undu
The king was deprived of his power.	raja na adikaron vanchitayer
The lion is the king of the jungle.	simha kadugu raja
The mystery still remains unsolved.	rahasya nanala purthi ayiji
The problem is being discussed now.	samasye nu ithe charche manthodh ulla
The storm destroyed the whole town.	Birugali idi pattanan haal manthund
The storm destroyed the whole town. Birugali idi pattanan haal manthund
There is a strange man at the door.	bakil dalpa vichitra dha aan ulle
These questions are easy to answer.	ee prashne pura utthara korre sulaba
These questions are easy to answer.	ee prashne pura utthara korre sulaba
They are proud of their clever son.	aklena budhi vantha magen tudu garva patyer
They brought trouble on themselves.	akule akleg  thondaren tarpayer
This is a good newspaper, isn't it?	indh onji yedde sudhipatra ,andatha?
To make matters worse, he fell ill.	indh vishayanu hall manpere,ayeg masthu anarogya aye
Tomorrow, he will land on the moon.	yelle  aye chandradu kaar deepe
We are all eager to know the truth.	nama pura satya gothayere kathondu ulla
What do you think she is doing now?	aal dhadha manthondhu ullal andh yenva?
Where should I pick the tickets up?	Yan ticket nu olu dethonodu?
Why did you come here this morning?	ee dhaye ini kande moolu batha?
Wooden buildings catch fire easily.	maratha katada bega thu pathundu
Would you mind my opening the door?	Ee bagilun jathadi manpunen eru manas manpara?
You can have this book for nothing.	Eer ee booku nu ovla honduji
You can't buy that kind of loyalty.	ereg aa tharadha swamibakthi nu dethonre apuji
You must take his age into account.	Eer ayena prayonu gananeg dethonod
You should make use of this chance.	Eer undh avakashanu upayoga manpod
You should make use of this chance.	Eer undh avakashanu upayoga manpoh
A hundred years is called a century.	noodhu varsha onji shatama andu panper
According to him, she is not coming.	Ayena prakara ,aal barpujal
All of a sudden, she began to laugh.	orane aal thelpere suru manthal
All of my kids want to learn French.	yenna pura jokuleg french odhodu
Are you reading an interesting book?	ee asaktthi vadha booku odhondu ullana?
Are you reading an interesting book?	ee asaktthi vadha booku odhondu ullana?
Are you reading an interesting book?	ee asaktthi vadha booku odhondu ullana?
Are you saying my life is in danger?	Ee yenna jeevana apaya du undh andh panondh ullana?
Can I extend my stay one more night?	yan yenna onji rathre uppuna vistara manpoliya?
Don't talk about it in front of him.	Aven yenna yedur paterodchi
Everybody came to the class on time.	purakulu varga gu sariyada porthug bather
Everyone in my family gets up early.	purakulu yenna kutumba du bega lakuver
Excuse me, is there a toilet nearby?	kshame manpule,moolu olanda shouchalaya unda?
Few students use pencils these days.	kelav vidhyarthilu ithela pencil upayoga manpuver
God helps those who help themselves.	devere swatha sahaya manpunaklegh sahaya manpuver
He can both speak and write Russian.	ayeg russian patereg la bareg la barpudu
He couldn't understand the sentence.	ayeg ee vakya artha ayiji
He cried as if he were a boy of six.	aye aaji varshada bale laka bulpe
He made up his mind to study abroad.	aye pidai desha du odere ayena manas manthe
He seemed surprised by my ignorance.	aye yenna agyana du ashcharya aye
He stuck the broken pieces together.	aye thundayinen otugu antaye
He will get better little by little.	aye chur chur ushar aape
Her advice to me was to work harder.	alna salahe yenk dhadha panda kastha patudh dudiyare
Her way of talking got on my nerves.	alena patheruna reethi thunda yenk garva barpundh
Hurry, and you will catch the train.	bega,ee rail nu pathuva
I am a student at Oxford University.	yan oxford university dha vidhyarthi
I am really pleased with my new car.	yenk yenna posa gaadi dha bage satyavadu kushi aand
I buried my dog at the pet cemetery.	yan yenna nayin saku mayanod samadhi  manthe
I don't want to spend more than $10.	Yenk pathu rupai du  jasthi  karcha manpere ijji
I never dreamed that you would lose.	Ee sopa andu yan kanatula yendhiji
I visit my grandmother twice a week.	yan yenna ajji nu varaogh rad sathi thikve
I visit my grandmother twice a week.	yan yenna ajji nu varaogh rad sathi thikve
I was in bed all day long yesterday.	yan kode pura yenna hasige de dina karethe
I will come back to Canada tomorrow.	yan yelle canada du pira barpe
I've studied English for five years.	yan english nu ainu varsha kalthe
In Japan, all children go to school.	japan du pura jokulu shale gu poper
Keep an eye on the baby for a while.	onthe porthu bale nu thuvonu
Let's get together here once a week.	nama varaogu ora mulu barka
My birthday is one month from today.	yenna putina parba barpina thigol inidh
My father usually comes home at six.	yenna ammer dhinola aaji ganteg illa gu barper
My father went jogging after dinner.	yenna ammer vanas ayi boka balpare poper
My father works for a power company.	yenna ammer vidhyuth company gu bele manper
No one believes that he is innocent.	yerla nambujer aye mugdha pandh
Opinions vary from person to person.	oreg oriyena abhipraya bethe upundu
Opinions vary from person to person.	oreg oriyena abhipraya bethe upundu
She always complains of her teacher.	aal yepla tecaher na mith duur padval
She believes her son is still alive.	aal nanla nambuval,aalna mage badukudhe andh
She talks as if she knew everything.	aal pura gothithin leka patherval
Some day we'll take a trip to India.	onji dina nama bharatha gu pravaha poi
Some like tea, others prefer coffee.	kelaver g chaa istha,bethakleg coffee ista
Stars cannot be seen in the daytime.	nakshatra kande thojuji
Tell me the name of the ninth month.	yenk ormbane thingol dha pudar pan
That's a completely unfounded rumor.	avu sampurna vadu gaalimathu
The cat slowly approached the mouse.	puche eli nu pathere mella ne pondu
The children were well looked after.	jokulen yedde tuvondu ither
The doctor advised him not to smoke.	vaidyer ayeg oipere balli andu panyer
The doctor advised him not to smoke.	vaidyer ayeg oipere balli andu panyer
The law says that all men are equal.	kanunu dada panpun panda pura anul sama
The plan has been successful so far.	ithe muta e yojane yashasandu
The plane will take off in one hour.	plane onjigantedu pidhadundu
The wind scattered the leaves about.	gali eren pura rapand
There are many old temples in Kyoto.	kyoto du masthu parathu devasthana undu
This hat does match the brown dress.	indh toppi kandu angigu  honduji
We are in agreement on this subject.	nama ee vishayad oppige mantha
We managed to swim across the river.	nama nadhi nu eejudhu poya
We talked to each other for a while.	nama onthe porthu patherya
We were all very happy at breakfast.	nama pura thindi manpunaga kushitu itha
What are you going to do in college?	ee college du dhadha manpare povondh ulla?
What do you usually do after dinner?	ee yepala onas da boka dhadha manapa?
What was the weather like yesterday?	kode havamana yencha ithund?
What would the world do without tea?	ee prapancha tea injande dada manpudu?
Which shoes are you going to put on?	ovu muttu padun laka ulla?
Won't you come and see me next week?	ee yennan barpina vara bathud thupujana?
Would you speak more slowly, please?	dhayamanthudh ee onthe mella pathervana?
You are doing very well. Keep it up.	ee yedde manthondh ulla,anchane manpu
You should not leave the baby alone.	ee balen orye budreg balli
You've never seen a genuine diamond.	nijavadha vajra nu ee nanala tuthija
A river runs down through the valley.	onji nadhi  kaniveda thirthu jariyundu
A thick mist covered the countryside.	dhappada manju gramanu muchundh
Are there enough chairs to go around?	suthadu bodathina kurchi unda?
At times I feel like quitting my job.	yapala yenk ee belen budpun leka aapundu
Buddhism had its beginnings in India.	boudha dharma bharatha du aitha suruvike nu hodhudh
Butter and cheese are made from milk.	benne boka cheese per du manpunu
Classical music is not my cup of tea.	Shasthriya sangeetha yenk manpare aapuji 
Could you bring me another hot towel?	yenk kudonji becha towel kanpana?
Do you feel any pain in your stomach?	nik banjid dhala bene apina leka avondh unda?
He broke one of the bones in his leg.	aye onji kaardha yelu nu thundu manthe
He is less impatient than his father.	ayena ammeredu ayeg amasara kammi
He lost no time answering the letter.	aye utha koreg dhala samaya dethondije
He put a hand gently on her shoulder.	aye mellane alna buja tha mith kai padye
He said he would see me the next day.	aye yennan yelle thikve andh panye
He was born in a small town in Italy.	aye italy du yelliya pattana du putini
He was standing at the street corner.	aye rasthe dha kone du unthondu ithe
He will be a doctor when he grows up.	aye malla ayin boka vaidhyakiya aape
He wiped the sweat from his forehead.	aye ayena nchiyeethi du bevar nu ochiye
His dog follows him wherever he goes.	ayena nayi ayena pirav popundu
How do you interpret these sentences?	ee vakyanu yencha vyakyana manpa?
I am doing business on a large scale.	yan malla pramanod vyavahara manpe
I had met her many times before then.	yan alen dumbe masthu sathi thuthe
I had met him many times before then.	yan ayen dumbe mansthu sathi thuthe
I have a friend who lives in England.	yenk oriye dosthi ulle england du uppunaye
I have nothing to say on this matter.	yenk ee vishaya du dala panpun laka iji
I helped my father water the flowers.	Yan yenna ammer gu poo gu neer padreg sahaya manthe
I took the opportunity to visit Rome.	yan undu avakashanu rome poyere dethonye
I want to know why Tom is doing this.	yenk tom undhen dhaye manpun andh gothavod
I was amazed at the speed of the car.	yenk car dha vega nu thoodhu  ashcharya chakitha aye
I was scared that you might leave me.	yenk podigeandu ee yennan bududh popa pandhu
I went to Europe by way of Anchorage.	yan europe anchorage da sadhi du poyini
I'm satisfied with my current income.	yenk ithe barpuna sambolad tripthi aand
I'm satisfied with my current income.	yenk ithe barpuna sambolad tripthi aand
I'm sorry, but I can't hear you well.	yennan kshame manpi,aandayenk saritu kenondu ijji
I'm sorry, but I can't hear you well.	yennan kshame manpi,aandayenk saritu kenondu ijji
I've got a bit of an ache in my back.	yenk onthe berithu bene shuru athundh
I've got one brother and two sisters.	yenk onji anne boka radd akka uller
Imagine that you have a time machine.	yenla ninnada onji ganteyantra undu andh
In those days, I went to bed earlier.	aa dinoth yan bega jepare povondh ithe
It's your turn. Please come this way.	undu ninna pal,dhayamanthudh inchi bala
She complained to me of his rudeness.	aal yenk ninna asabyathe dha bage dooru manthal
She prepared a wonderful meal for us.	aal namaku yeede dha vanas thayar manthal
She was only pretending to be asleep.	aal nidre manthondh ithal 
She went to Paris for the first time.	aal paris modhalan bari poyal
That's Tom's house with the red roof.	avu tom na illa kempu banna da malige
That's too small to fit on your head.	avu masthu yelliye ninna mandeg
The train is made up of fifteen cars.	onji train padnainu gaadi manpunu
There's been a lot of rain this year.	ee  varsha masthu barsa baidundu
They dug here and there for treasure.	akulu nidhi gathu mulpala alpala ageyer
Turn left and you will find the cafe.	yeda tirgula,nik onji cafe thikundu
We are all anxious about your health.	namak ninna aroghya dha bage podige aapundu
We are all anxious about your health.	namak ninna aroghya dha bage podige aapundu
We are to meet in front of his house.	nama ayena illada yedur thikuga
What put such an idea into your head?	ovu ninna thareth ethu malla alochane padundh?
Who are you going to eat dinner with?	yerna otugu ee onas manpa?
You can see the whole city from here.	pura nagara nu mulpadhu thuvoli
You should have attended the meeting.	ee sabethu bagavhisodu ithundu
A good idea occurred to me last night.	yedde alochane  yenk kode rathre bathund
At last, the truth became known to us.	koneth,satya namak gothand
He asked me if I could do him a favor.	aye yennada kenye ,ayeg onji upakara manpliya andh
He can imitate the rest of the family.	aye oridina kutumbanu anukarisoli
He doesn't speak French, neither do I.	aye french pateruje,yanla pateruji
He earns more money than he can spend.	aye masthu kass benpe karch manpunedh
He exhibited no remorse for his crime.	aye manthina thappugu ovla prschyathapa tojayije
He gave his children a good education.	aye ayena balegu yedde vidya nu koriye
He wouldn't allow me to drive his car.	aye yennan gaadi budreg budtije
His failure has nothing to do with me.	ayene faifalya yenk dala manpereiji
How many cars has that company bought?	yeth gaadi company dethonodh?
How many people are on board the ship?	yeth janakulu kappal mith yeryar?
I always got up early in my childhood.	yan yeliya uppunga yepala kande bega lakkondu ithe
I am going to go play ball with Mohan.	yan mohan  ottugu ball gobbere povondu ulle
I am well acquainted with the subject.	yenk ee vishayda bagge yedde gothundh
I don't know if it will rain tomorrow.	yenk gotuji yelle barsa barpunda andh
I don't want to buy this kind of sofa.	yenk ee tara dha sofa dethondreg iji
I doubt the veracity of his statement.	aye helukedha satyasathyathe nu  nambere apuji
I had never seen her before that time.	yan ithe mutha alen thutiji
I have just finished reading the book.	yan ithe booku odhudh mugipayini
I know a girl who can ride a unicycle.	yenk onji ponnan gurtha undu yer e unicycle budoli
I know his address, but it's a secret.	yenk ayena vilasa gothundh,andha avu rahasya
I regret not having bought that house.	yenk vishada avondu undu dhaye avu illanu dethondije andh
I want to help you with your homework.	yan nik ninna 
I'll be staying here for three months.	yan mulu muji thingol uppuve
I'm sure that she will come back soon.	yenk gothundu alal bega pira barpal andh
I've taught myself to play the guitar.	yan guitar gobbuga andu yenye
It is necessary that you see a doctor.	ee vaidyagarana nu tupunu masth avashya
It's been ten years since we last met.	pathu varsha andh namma thikdh
Leave your umbrella at the front door.	ninna kode nu yedhur  dha bagil du budla
Look up the phrase in your dictionary.	ninna sarvadhikarod nudigattunu tula
Mary was looking for you at that time.	mary nik nadondu ithal yekad
Mom scolded me for making fun of them.	Amma yenk aklen makkar manthinek neryer
My mother put clean sheets on the bed.	yenna amma hasige da meth yedde kunthu padyer
My sister always keeps her room clean.	yenna thangi alna kone nu shudha vadu  dephal
My uncle is an amateur cricket player.	yenna mamu havyasi cricket gobbunar
My uncle is an amateur cricket player.	yenna mamu havyasi cricket gobbunar
My uncle is an amateur cricket player.	Yenna mamu havyasi cricket gobbunar
My uncle is an amateur cricket player.	yenna mamu havyasi cricket gobbunar
She called her children into the room.	aal alena jokulen kone dulai lethal
She passed away peacefully last night.	aal kode shanthi du theryal
She told me that she wanted a pet dog.	aalyenk panyal aleg onji nayi sankere bodu pandu
She was brought up by her grandmother.	alen udhara manthin alna dodha
She was brought up by her grandmother.	alen udhara manthin alna dodha 
She was watching the dead leaves fall.	aal saithina ire burunen tuvondu ithal
She will become a doctor in two years.	aal rad varshadu vaidyapaki aapal
Sickness prevented him from going out.	anarogya ayen pidai popuna thadayundh
Strange as it may sound, this is true.	undunik vichitra vadu upundh ,andaavu sathya
Taste this wine to see if you like it.	indh wine dha ruchi thoola nik yedde aapunda andh 
The dog followed him wherever he went.	aye odeg pondala nayi ayena pirav povondh ithundh
The food was not fit for man or beast.	aahara manushyaergla pranigila hoduji
The police were patrolling the street.	bedhi du gasthu tirgondh policeer
The train is ten minutes behind today.	train ini pathu nimisha pirav thagndh
The trouble is that they have no time.	thondare dada panda aklegh samaya iji
There is no longer any room for doubt.	Nana samshaya manpare avakasha ijji
There's no use trying to persuade him.	ayen appuge manpavunedh dala prayojana iji
They charged me for the broken window.	akul pudathina kannadi gu kass dethonyer
They were scattered in all directions.	akulu pura dikkudla pavitravadu uller
This cloth is really smooth and silky.	undu kunthu satyadu nayadha boka rastriyanthaha
This machine is driven by electricity.	undu yantra vidhyuth du balthondu undh
This medicine will clear up your cold.	undh yantra ninna chali nu spashta manpundh
This medicine will take the pain away.	undh mathre ninna benen popavundh
Two boys came running out of the room.	Radd javaner kone du balthondu bather
We have two unused rooms in our house.	namma illad radd upayaoga manpandina kone undh
We ordered pink, but we received blue.	nama gulabi tarpaya,anda nili baidhini
We tried it again, but couldn't do it.	nama nanora prayathna mantha,andala manpere ayiji
Where's the remote control for the TV?	Dhooradarshana dha remote control olu undh
You are wearing your shirt inside out.	ninna anginu pidai ulai padondu ulla
You are wearing your shirt inside out.	ninna anginu pidai ulai padondu ulla
You can see a lot of stars in the sky.	nik akasha du masth nakshatra nu thuvoli
You should make good use of your time.	ee samaya nu yedde vadu upayoga manpod
Your daughter is not a child any more.	ninna magal ithe bale ath
"Where do you live?" "I live in Tokyo."	Ee olu uppunu? yan tokyo du uppunu.
Father sometimes took me to his office.	ammer yennan arna kacheri gu lethondu poyer
He could not sleep because of the heat.	aye bechadu jeppere avondu iji
He embezzled the money from his office.	aye kacheri dha kass nu pura durupayoga manthe
He had nothing to say, so he went away.	ayeg dala pandreg ithiji,aik aye poye
He is getting along with his employees.	aye ayena upayoge othugu povondu  ulle
He sold his own car without hesitation.	aye hecharike ijande ayea gaadi nu marye
He used to tell me stories about India.	yan bharatha bage kathe panondu ithe
Her mother was busy cooking the dinner.	alna amma rathre bojana busy adu thyar manthondu ither
How many times a day does that bus run?	onji dinag yeth sathi bus balpundu?
How soon can you have this dress ready?	yeth bega nik indh kuntu nu thayar manpoli?
I am fully convinced of your innocence.	erna mudhuge du yan sampurna vadhu manavarike andu
I am interested in American literature.	yenk america sahitya du masth asakthi
I am much obliged to you for your help.	sahaya gandu yan erna otug masthu nerbhaya nu dethe
I began to sing when I was a youngster.	yan javanae adu uppunu nagane padhya pandreg suru manthe
I can't put up with this noise anymore.	yan nanddhu alna shabdha nibaya manpere sadhyaa iji
I found nothing but a pair of scissors.	yenk rad kateri budhdu bethe dala thikiji
I know that all of this is just a game.	yenk gothundu undu pura kevla atha andu
I met her in London for the first time.	yan alen london du modalane bari thikye
I need to go home a little early today.	yan illag onthe bega povodh
I was able to answer all the questions.	yenk pura prashneg uthra korre thakath ithund
I will ask him about it tomorrow, then.	yan ayeda aitha bage yelle kenve
I will find out how the medicine works.	yan naduve yencha mathre bele manpundh andu
I will pay my debt as soon as possible.	yan yeth bega aapunda athu begaa yenna illake nu korpe 
I'd like to see him tomorrow afternoon.	yan ayen yelle madhyana dulai tueye ashe aapunddh
I'll be in Tokyo on business next week.	yan vyavahara gu tokyo du barpin vara  upuve
If you have time, please drop in on us.	nikeg samaya ithunda,dhayamanthudh namman budhle
It will go away by itself in two weeks.	avu thanatige rad varaodh popundh
Mother bought a beautiful doll for her.	amma aleg porluda gombe kanyer
My father consented to my going abroad.	yan pidai desha g poyere yenna poppa opyer
